C:\self drving car\training data\IMG\center_2019_02_10_12_06_18_572.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_18_572.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_18_572.jpg, 0, 0, 0, 7.913316E-05
C:\self drving car\training data\IMG\center_2019_02_10_12_06_18_673.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_18_673.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_18_673.jpg, 0, 0, 0, 7.837288E-05
C:\self drving car\training data\IMG\center_2019_02_10_12_06_18_779.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_18_779.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_18_779.jpg, 0, 0, 0, 7.828607E-05
C:\self drving car\training data\IMG\center_2019_02_10_12_06_18_884.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_18_884.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_18_884.jpg, 0, 0, 0, 7.812009E-05
C:\self drving car\training data\IMG\center_2019_02_10_12_06_18_984.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_18_984.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_18_984.jpg, 0, 0, 0, 7.82202E-05
C:\self drving car\training data\IMG\center_2019_02_10_12_06_19_087.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_19_087.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_19_087.jpg, 0, 0, 0, 7.814065E-05
C:\self drving car\training data\IMG\center_2019_02_10_12_06_19_193.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_19_193.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_19_193.jpg, 0, 0, 0, 7.882596E-05
C:\self drving car\training data\IMG\center_2019_02_10_12_06_19_293.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_19_293.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_19_293.jpg, 0, 0, 0, 7.817303E-05
C:\self drving car\training data\IMG\center_2019_02_10_12_06_19_399.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_19_399.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_19_399.jpg, 0, 0, 0, 7.903491E-05
C:\self drving car\training data\IMG\center_2019_02_10_12_06_19_504.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_19_504.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_19_504.jpg, 0, 0.1299934, 0, 0.04775997
C:\self drving car\training data\IMG\center_2019_02_10_12_06_19_603.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_19_603.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_19_603.jpg, 0, 0.4405915, 0, 0.3903651
C:\self drving car\training data\IMG\center_2019_02_10_12_06_19_705.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_19_705.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_19_705.jpg, 0, 0.7345222, 0, 1.125978
C:\self drving car\training data\IMG\center_2019_02_10_12_06_19_807.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_19_807.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_19_807.jpg, -0.2965112, 1, 0, 2.201107
C:\self drving car\training data\IMG\center_2019_02_10_12_06_19_913.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_19_913.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_19_913.jpg, -0.6382048, 1, 0, 3.58001
C:\self drving car\training data\IMG\center_2019_02_10_12_06_20_016.jpg, C:\self drving car\training data\IMG\left_2019_02_10_12_06_20_016.jpg, C:\self drving car\training data\IMG\right_2019_02_10_12_06_20_016.jpg, -0.4994511, 1, 0, 4.733507
